Pointer[#version],Original,Translated
0x74000,ヘんどうの こうかが はっせいした!<S3c>\<S2>こうどうせいこうリつが さがった!<S3c><*4>,Inflicted <f02>Flux <f00>status!<S3c><4A><49><S02>Success rate down!<S3c><*4>
0x74002,ていしの こうかが はっせいした!<S3c>\<S2>しばらくのあいだ うごけない!<S3c><*4>,Inflicted <f02>Stop <f00>status!<S3c><4A><49><S02>Unable to move!<S3c><*4>
0x74004,そくばくの こうかが はっせいした!<S3c>\<S2>スピードが おそくなった!<S3c><*4>,Inflicted <f02>Bind <f00>status!<S3c><4A><49><S02>Speed decreased!<S3c><*4>
0x74006,けいぞくの こうかが はっせいした!<S3c>\<S2>いどうちゅうも ダメージを うける!<S3c><*4>,Inflicted <f02>Burn <f00>status!<S3c><4A><49><S02>Continuous damage!<S3c><*4>
0x74008,<&BUF01> は<4E>ヘんどう から かいじょされた!<S3c><*1>,<&BUF01>'s <f02>Flux <f00>status was cleared!<S3c><*1>
0x7400a,<&BUF01> は<4E>ていし から かいじょされた!<S3c><*1>,<&BUF01>'s <f02>Stop <f00>status was cleared!<S3c><*1>
0x7400c,<&BUF01> は<4E>そくばく から かいじょされた!<S3c><*1>,<&BUF01>'s <f02>Bind <f00>status was cleared!<S3c><*1>
0x7400e,<&BUF01> は<4E>けいぞく から かいじょされた!<S3c><*1>,<&BUF01>'s <f02>Burn <f00>status was cleared!<S3c><*1>
0x74010,<&BUF01> は<4E>かいじょするものが なかった!<S3c><*4>,There are no status effects to clear!<S3c><*4>
0x74012,<&BUF01> は<4E>かいじょに しっぱいした!<S3c><*4>,<&BUF01>'s clear failed!<S3c><*4>
0x74014,<&BUF01> は<4E>ヘんどうの こうかを かいじょした!<S3c><*4>,<&BUF01> cleared all <f02>Flux <f00>status!<S3c><*4>
0x74016,<&BUF01> は<4E>ていしの こうかを かいじょした!<S3c><*4>,<&BUF01> cleared all <f02>Stop <f00>status!<S3c><*4>
0x74018,<&BUF01> は<4E>そくばくの こうかを かいじょした!<S3c><*4>,<&BUF01> cleared all <f02>Bind <f00>status!<S3c><*4>
0x7401a,<&BUF01> は<4E>けいぞくの こうかを かいじょした!<S3c><*4>,<&BUF01> cleared all <f02>Burn <f00>status!<S3c><*4>
0x7401c,しかし ばくふうで ダメージをうけた<S3c><*4>,...But it took damage from the blast!<S3c><*4>
0x7401e,てんたいかんそくじょ,Observatory
0x74020,=0x7401e,=0x7401e
0x74022,ほんたいかいかいじょう,Main Tournament Hall
0x74024,せんしゅホテル,Tournament Hotel
0x74026,ゆにゅうひんや,Import Shop
0x74028,メダロットけんきゅうじょ,Medarot Laboratory
0x7402a,パディのいえ,Paddy's House
0x7402c,あがた イネサク<4E>    ヨネ  ,Inesaku &<49>Yone Agata
0x7402e,イタコのいえ,Wise Woman's House
0x74030,メダルきねんかん,Medal Museum
0x74032,ペットショップ,Pet Shop
0x74034,ふくびきしょ,Lottery Shop
0x74036,バー,Bar
0x74038,むしはかせ けんきゅうじょ,Insect Professor's Lab
0x7403a,にんじゃやしき,Ninja Mansion
0x7403c,メダロットしゃ,Medarot Company
0x7403e,ユウキのいえ,Yuuki's House
0x74040,やくば,Town Hall
0x74042,あがた ベイスケ<4E>    マイコ <4C>あがた <&NAME><4E>    ボナパルト,Beisuke &<49>Maiko Agata<4C><&NAME> Agata<49>Bonaparte
0x74044,キララのいえ,Kirara's House
0x74046,イセキのいえ,Iseki's House
0x74048,クボタのいえ,Kubota's House
0x7404a,ヤンマのいえ,Yanma's House
0x7404c,こっとうひんや,Antiques
0x7404e,セレクトしぶ,Select Office
0x74050,セレクトほんしゃビル,Select Headquarters
0x74052,そんちょうのいえ,Mayor's House
0x74054,ねこまねきだ,It's a lucky cat statue.
0x74056,ぽこぽこたぬきだ,It's a Tanuki statue.
0x74058,みたことのないむしだ,It's a bug I've never seen before.
0x7405a,しんがたパーツが いっぱいある,The newest parts are on display.
0x7405c,す すごいメダルだ!,W-Whoa! This Medal is amazing!
0x7405e,ほかのひとの パソコンは<4E>みちゃいけないぞ,I shouldn't mess with other people's computers.
0x74060,メダロットグッズが やまづみだ,Medarot goods line the shelves.
0x74062,パーツの じどうはんばいきだ!<4E>だけど ぜんぶ うリきれだ!,It's a vending machine for parts!<49>...But everything's sold out.
0x74064,メダロットが でます<4E>エサを あたえないでください,"""Please do not feed the Medarots"""
0x74066,きけん!!<4E>うちゅうじんが でます,"""Danger!! Beware of aliens"""
0x74068,メダル 「<&BUF01>」 は<4E>レベルアップした!<4C><*4>,<f02><&BUF01><f00> Medal leveled up!<4C><*4>
0x7406a,=0x74068,=0x74068
0x7406c,=0x74068,=0x74068
0x7406e,=0x74068,=0x74068
0x74070,=0x74068,=0x74068
0x74072,=0x74068,=0x74068
0x74074,=0x74068,=0x74068
0x74076,=0x74068,=0x74068
0x74078,=0x74068,=0x74068
0x7407a,=0x74068,=0x74068
0x7407c,=0x74068,=0x74068
0x7407e,=0x74068,=0x74068
0x74080,=0x74068,=0x74068
0x74082,=0x74068,=0x74068
0x74084,=0x74068,=0x74068
0x74086,=0x74068,=0x74068
0x74088,=0x74068,=0x74068
0x7408a,=0x74068,=0x74068
0x7408c,=0x74068,=0x74068
0x7408e,=0x74068,=0x74068
0x74090,=0x74068,=0x74068
0x74092,=0x74068,=0x74068
0x74094,=0x74068,=0x74068
0x74096,=0x74068,=0x74068
0x74098,=0x74068,=0x74068
0x7409a,=0x74068,=0x74068
0x7409c,=0x74068,=0x74068
0x7409e,=0x74068,=0x74068
0x740a0,=0x74068,=0x74068
0x740a2,なぐるが <&BUF01> あがった!<4C><*4>,Strike skill increased by <&BUF01>!<4C><*4>
0x740a4,がむしゃらが <&BUF01> あがった!<4C><*4>,Berserk skill increased by <&BUF01>!<4C><*4>
0x740a6,うつが <&BUF01> あがった!<4C><*4>,Shoot skill increased by <&BUF01>!<4C><*4>
0x740a8,ねらいうちが <&BUF01> あがった!<4C><*4>,Snipe skill increased by <&BUF01>!<4C><*4>
0x740aa,おうえんが <&BUF01> あがった!<4C><*4>,Support skill increased by <&BUF01>!<4C><*4>
0x740ac,まもるが <&BUF01> あがった!<4C><*4>,Protect skill increased by <&BUF01>!<4C><*4>
0x740ae,なおすが <&BUF01> あがった!<4C><*4>,Heal skill increased by <&BUF01>!<4C><*4>
0x740b0,そのほかが <&BUF01> あがった!<4C><*4>,Other skill increased by <&BUF01>!<4C><*4>
0x740b2,メダル 「<&BUF01>」 は<4E>ランクアップした!<4C><*4>,<f02><&BUF01><f00> Medal's rank increased!<4C><*4>
0x740b4,さあ せんとうかいし!<*3>,Let the battle begin!<*3>
0x740b6,=0x740b4,=0x740b4
0x740b8,=0x740b4,=0x740b4
0x740ba,=0x740b4,=0x740b4
0x740bc,=0x740b4,=0x740b4
0x740be,=0x740b4,=0x740b4
0x740c0,=0x740b4,=0x740b4
0x740c2,=0x740b4,=0x740b4
0x740c4,=0x740b4,=0x740b4
0x740c6,=0x740b4,=0x740b4
0x740c8,=0x740b4,=0x740b4
0x740ca,=0x740b4,=0x740b4
0x740cc,=0x740b4,=0x740b4
0x740ce,=0x740b4,=0x740b4
0x740d0,=0x740b4,=0x740b4
0x740d2,=0x740b4,=0x740b4
0x740d4,=0x740b4,=0x740b4
0x740d6,=0x740b4,=0x740b4
0x740d8,=0x740b4,=0x740b4
0x740da,=0x740b4,=0x740b4
0x740dc,=0x740b4,=0x740b4
0x740de,=0x740b4,=0x740b4
0x740e0,=0x740b4,=0x740b4
0x740e2,=0x740b4,=0x740b4
0x740e4,=0x740b4,=0x740b4
0x740e6,=0x740b4,=0x740b4
0x740e8,=0x740b4,=0x740b4
0x740ea,=0x740b4,=0x740b4
0x740ec,=0x740b4,=0x740b4
0x740ee,=0x740b4,=0x740b4
0x740f0,=0x740b4,=0x740b4
0x740f2,つうしんロボトルを はじめます!!<S3c><*4>,The link Robottle will now begin!<S3c><*4>
0x740f4,つかえません!!,You can't use that!!
0x740f6,すてることはできません,It can't be thrown away.
0x740f8,いくつすてますか？<*4>,How many?
0x740fa,ほんとうに すてても<4E>よろしいですか？<*4>,Are you sure you want to throw it away?
0x740fc,せんとうに さんかできません,It can't battle in this state.
0x740fe,<&BUF01> は<4E>なにも しなかった!<S1e><*4>,<&BUF01> did nothing!<S1e><*4>
0x74100,<&BUF01> の<4E>なぐる こうげき! <&BUF04>!<*4>,<&BUF01>'s Strike attack! <&BUF04>!<*4>
0x74102,<&BUF01> の<4E>がむしゃら こうげき! <&BUF04>!<*4>,<&BUF01>'s Berserk attack! <&BUF04>!<*4>
0x74104,<&BUF01> の<4E>なぐる こうげき! <&BUF04>!<*4>,<&BUF01>'s Strike attack! <&BUF04>!<*4>
0x74106,<&BUF01> の<4E>がむしゃら こうげき! <&BUF04>!<*4>,<&BUF01>'s Berserk attack! <&BUF04>!<*4>
0x74108,<&BUF01> は<4E>あたまに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s head took <&BUF04> damage!<S3c><*4>
0x7410a,<&BUF01> は<4E>みぎうでに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s right arm took <&BUF04> damage!<S3c><*4>
0x7410c,<&BUF01> は<4E>ひだリうでに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s left arm took <&BUF04> damage!<S3c><*4>
0x7410e,<&BUF01> は<4E>きゃくぶに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s legs took <&BUF04> damage!<S3c><*4>
0x74110,<&BUF01> の<4E>あたまは こわれた<*4>,<&BUF01>'s head was destroyed.<*4>
0x74112,<&BUF01> の<4E>みぎうでは こわれた<*4>,<&BUF01>'s right arm was destroyed.<*4>
0x74114,<&BUF01> の<4E>ひだリうでは こわれた<*4>,<&BUF01>'s left arm was destroyed.<*4>
0x74116,<&BUF01> の<4E>きゃくぶは こわれた<*4>,<&BUF01>'s legs were destroyed.<*4>
0x74118,べつのパーツに かんつうした!!<S3c><*4>,The attack damaged other parts!<S3c><*4>
0x7411a,<&BUF01> は<4E>こうげきを かわした!<S3c><*4>,<&BUF01> dodged the attack!<S3c><*4>
0x7411c,<&BUF01> の<4E>うつ こうげき! <&BUF04>!<*4>,<&BUF01>'s Shoot attack! <&BUF04>!<*4>
0x7411e,<&BUF01> の<4E>ねらいうち こうげき! <&BUF04>!<*4>,<&BUF01>'s Snipe attack! <&BUF04>!<*4>
0x74120,<&BUF01> は<4E>みかたを おうえんした<*4>,<&BUF01> supported its teammate!<*4>
0x74122,<&BUF01> は<4E>スピードアップした!!<*4>,<&BUF01>'s speed was boosted!<*4>
0x74124,<&BUF01> に<4E>おうえんの こうかが なかった<*4>,It had no effect on <&BUF01>.<*4>
0x74126,ほうねつに せいこうした<4C><*1>,Cooldown succeeded.<4C><*1>
0x74128,ほうねつに しっぱいした<4C><*1>,Cooldown failed.<4C><*1>
0x7412a,<&BUF01> は<4E>チームぜんたいを まもリます!<S3c><*4>,<&BUF01> is guarding its team!<S3c><*4>
0x7412c,てきのリーダーを たおした<4C><*1>,Defeated the enemy leader!<4C><*1>
0x7412e,みかたのリーダーが たおれた<4C><*1>,Your leader has been defeated!<4C><*1>
0x74130,えんごきたいが まもリにはいった!<S1e><*4>,The guard Medarot took the hit!<S1e><*4>
0x74132,トラップをしかけた!<4E>しかし すでにせっちされていた!<S3c><*4>,A trap has already been set!<S3c><*4>
0x74134,<&BUF01> の<4E>ほんたいの きのうがていしした!!<*4>,<&BUF01> shut down!<*4>
0x74136,<&BUF01> は<4E>ぼうぎょに せいこうした!!<S3c><*4>,<&BUF01>'s defense was successful!<S3c><*4>
0x74138,<&BUF01> の<4E>こうどうパーツは こわれていた<S3c><*4>,The part <&BUF01> used is broken!<S3c><*4>
0x7413a,あいてはすでに<4E>きのうていし していた!!<S3c><*4>,The target has already shut down!<S3c><*4>
0x7413c,ねらったパーツは<4E>すでに こわれていた!!<S3c><*4>,The targeted part is already broken!<S3c><*4>
0x7413e,トラップをしかけた!<4E>しかし すでにせっちされていた!<S3c><*4>,A trap has already been set!<S3c><*4>
0x74140,<&BUF01> の<4E>せっちに しっぱいした<S3c><*4>,<&BUF01>'s trap failed to set!<S3c><*4>
0x74142,<&BUF01> の<4E>せっちに せいこうした<S3c><*4>,<&BUF01>'s trap was set!<S3c><*4>
0x74144,トラップを かいひした<S3c><*4>,Avoided the trap!<S3c><*4>
0x74146,トラップに ひっかかった<S3c><*4>,Got caught in the trap!<S3c><*4>
0x74148,トラップが かいじょされた<S3c><*4>,The trap was cleared!<S3c><*4>
0x7414a,<&BUF01> は<4E>かいじょするものが なかった<S3c><*4>,There's nothing to clear!<S3c><*4>
0x7414c,<&BUF01> は<4E>かいじょに しっぱいした<S3c><*4>,<&BUF01>'s clear failed!<S3c><*4>
0x7414e,<&BUF01> は<4E>トラップを かいじょした!<S3c><*4>,<&BUF01> cleared the trap!<S3c><*4>
0x74150,<&BUF01> は<4E>バリアを かいじょした!<S3c><*4>,<&BUF01> cleared the barrier!<S3c><*4>
0x74152,<&BUF01> は<4E>かいじょするものが なかった<S3c><*4>,There's nothing to clear!<S3c><*4>
0x74154,<&BUF01> は<4E>かいじょに しっぱいした<S3c><*4>,<&BUF01>'s clear failed!<S3c><*4>
0x74156,<&BUF01> は<4E>しょうじょうを かいじょした!<S3c><*4>,<&BUF01> cleared the status!<S3c><*4>
0x74158,<&BUF01> は<4E>かいふくに せいこうした!!<*4>,<&BUF01>'s repair was successful!<*4>
0x7415a,=0x74158,=0x74158
0x7415c,<&BUF01> は<4E>かいふくの こうかがなかった!!<*4>,<&BUF01>'s repair had no effect!<*4>
0x7415e,<&BUF01> の<4E>あたまは かいふくした<S3c><*4>,<&BUF01>'s head was repaired!<S3c><*4>
0x74160,<&BUF01> の<4E>みぎうでは かいふくした<S3c><*4>,<&BUF01>'s right arm was repaired!<S3c><*4>
0x74162,<&BUF01> の<4E>ひだリうでは かいふくした<S3c><*4>,<&BUF01>'s left arm was repaired!<S3c><*4>
0x74164,<&BUF01> の<4E>きゃくぶは かいふくした<S3c><*4>,<&BUF01>'s legs were repaired!<S3c><*4>
0x74166,<&BUF01> は<4E>さくてきを おこなった<S3c><*4>,<&BUF01> scanned the area!<S3c><*4>
0x74168,チームぜんいんの<4E>せいこうリつが あがった!<S3c><*4>,The team's success rate increased!<S3c><*4>
0x7416a,<&BUF01> は<4E>いんぺいを おこなった<S3c><*4>,<&BUF01> concealed itself!<S3c><*4>
0x7416c,しかし いんぺいに しっぱいした!<S3c><*4>,But it remained visible!<S3c><*4>
0x7416e,かいひリつが あがった!<S3c><*4>,Evasion increased!<S3c><*4>
0x74170,<&BUF04>を つかった!<S3c><*4>,Used <&BUF04>!<S3c><*4>
0x74172,こうかが なかった!!<S3c><*4>,There was no effect!<S3c><*4>
0x74174,<&BUF02>は <4E><&BUF04>に ヘんかした!!<S3c><*4>,<&BUF02> transformed into <&BUF04>!<S3c><*4>
0x74176,あまリこうかが なかった!!<S3c><*4>,It had little effect!<S3c><*4>
0x74178,<&BUF01> には きかなかった<S3c><*4>,It had no effect on <&BUF01>.<S3c><*4>
0x7417a,セーブしますか？<*4>,Do you want to save?<*4>
0x7417c,メダロットが<4E>1たいも くまれていません!<4C>メダロットを くんでください!,You have no battle-ready Medarots!<4C>Please assemble a Medarot!
0x7417e,せいぎの ためで あリますっ!<*2>,"For justice, sir!<*2>"
0x74180,=0x7417e,=0x7417e
0x74182,あくの かぎリを つくすロボ<*2>,"Our evil knows no bounds, Robo!<*2>"
0x74184,せっしゃが あいてを するで ござる<*2>,I shall be your opponent!<*2>
0x74186,かてると おもうんなら<4E>かかってきな!<*2>,Come at me if you think you can win!<*2>
0x74188,メダロット もってるな<4E>よし やろうぜ<*2>,"You have a Medarot, right?<49>Let's battle!<*2>"
0x7418a,てかげん しないじゃんじゃん<*2>,"I won't go easy on you, dude.<*2>"
0x7418c,わしと ボロトルせんか？<*2>,Will you Borottle with me?<*2>
0x7418e,あたしと ろぼとる しない？<*2>,Wanna wobottle wit me?<*2>
0x74190,ロボトルするって カンジーッ<*2>,"Like, let's Robottle, y'know?<*2>"
0x74192,ふふふっ そのパーツ いただくわっ<*2>,"Hmhmhm, I'll be taking those parts!<*2>"
0x74194,にいちゃん かかって きなっ<*2>,"Bring it on, youngster!<*2>"
0x74196,ロボトルを しゃしんに<4E>とらないかい？<*2>,Mind if I take a photo of our Robottle?<*2>
0x74198,きみの せんリゃくは みきった!<*2>,I've seen through your strategy!<*2>
0x7419a,ロボトルするべ!<*2>,"Ey, let's Robottle!<*2>"
0x7419c,とあみで つかまえてやるだ<*2>,You'll be caught in my net!<*2>
0x7419e,するっぺよ なっ？<*2>,"You'll Robottle me, won't ya?<*2>"
0x741a0,するもぐ するもぐ<*2>,"Dig dig dig, let's go!<*2>"
0x741a2,のらメダロットが あらわれた!<*2>,A stray Medarot appeared!<*2>
0x741a4,のらメダロットが あらわれた!<*2>,=0x741a2
0x741a6,いくわよっ!<*2>,Let's go!<*2>
0x741a8,ぼうや どこからでも<4E>かかってらっしゃい<*2>,"I'll take you on any day, boy!<*2>"
0x741aa,きみと ボクとの かくのちがいを<4E>みせてあげよう<*2>,I'll show you the difference in our abilities.<*2>
0x741ac,いっくわよーっ!<*2>,Here I go~!<*2>
0x741ae,あんたって まったく めざわリだわ<*2>,You're a real pain in the neck!<*2>
0x741b0,・・・・・・<*2>,......<*2>
0x741b2,こてんぱんに してやるぜ!<*2>,I'll beat you to a pulp!<*2>
0x741b4,よろしく おねがいいたします<*2>,Pleased to meet you.<*2>
0x741b6,ふむ かかってきたまえ<*2>,Hrm...come at me.<*2>
0x741b8,なかなか いせいが いいじゃない<*2>,You seem a little strong.<*2>
0x741ba,ワシと はリあうのは 53ねん<4E>はやいわっ<*2>,You're 53 years too early to face me!<*2>
0x741bc,ボクちゃんは つよいでチュよ<*2>,"I'm stwong, ya know!<*2>"
0x741be,ふんっ せかいは ロボロボだんの<4E>ために あるのだっ<*2>,The RoboRobo Gang will rule the world.<*2>
0x741c0,ワシは みすみす やられは せんぞ<*2>,I won't be defeated so easily!<*2>
0x741c2,われわれの じゃまをするものは<4E>いかして かえさないわ<*2>,Those who get in our way will be dealt with.<*2>
0x741c4,ボクちゃんと たたかうでチュ<*2>,Let's battle!<*2>
0x741c6,さあっ ドーンと とびこんできなさい<*2>,"Come on now, don't hold back!<*2>"
0x741c8,どれ まごのせいちょうでも<4E>みてやるかの<*2>,Time to see how my grandson is coming along.<*2>
0x741ca,オレが かったら ヒヨコかってくれよ<*2>,"If I win, you'll buy a chick, right?<*2>"
0x741cc,わしが わかいころはだな<4E>しつけが きびしくて・・・<*2>,"Ever since I was a child,<49>I've been doing intense training..<*2>"
0x741ce,ひとと あらそうのって<4E>あんまリすきじゃないわ<*2>,I never really liked fighting.<*2>
0x741d0,メガネがないと<4E>まえが みえないの・・・<*2>,I can't see anything without my glasses...<*2>
0x741d2,ワシの しきぼうさばきを<4E>みせてやるぞ<*2>,I will pass judgement on you with my<49>conductor's stick.<*2>
0x741d4,さあっ ゆうひにむかって<4E>はしるんだっ!<*2>,"Now, let us run to the sunset!<*2>"
